Date,AMZN,AAPL
2016-05-27,35.612,23.015884
2016-05-31,36.1395,22.903509
2016-06-01,35.972,22.582413
2016-06-02,36.411999,22.412682999999998
2016-06-03,36.277,22.458559
2016-06-06,36.336498,22.621397
2016-06-07,36.187,22.71314
2016-06-08,36.332001,22.692493
2016-06-09,36.3825,22.855342999999998
2016-06-10,35.8955,22.667265
2016-06-13,35.762001,22.325530999999998
2016-06-14,35.965,22.353054
2016-06-15,35.713001,22.279659
2016-06-16,35.8755,22.373695
2016-06-17,35.3195,21.864521
2016-06-20,35.7005,21.811779
2016-06-21,35.791,21.997553
2016-06-22,35.529999,21.914989000000002
2016-06-23,36.104,22.041128
2016-06-24,34.948002,21.421867000000002
2016-06-27,34.568001,21.109939999999998
2016-06-28,35.397498999999996,21.465441000000002
2016-06-29,35.779999,21.651226
2016-06-30,35.780998,21.926451
2016-07-01,36.284,21.99296
2016-07-05,36.404999,21.786539
2016-07-06,36.880501,21.910391
2016-07-07,36.828499,22.004436
2016-07-08,37.290501,22.174158
2016-07-11,37.688999,22.242962
2016-07-12,37.4105,22.343876
2016-07-13,37.1315,22.217737
2016-07-14,37.060001,22.658096
2016-07-15,36.771999,22.655796
2016-07-18,36.803501000000004,22.896627
2016-07-19,36.997501,22.905801999999998
2016-07-20,37.285999,22.926437
2016-07-21,37.2215,22.804884
2016-07-22,37.243,22.628279
2016-07-25,36.980499,22.325530999999998
2016-07-26,36.779499,22.171860000000002
2016-07-27,36.8335,23.612215
2016-07-28,37.630501,23.931025
2016-07-29,37.940498,23.901207
2016-08-01,38.387001,24.323225
2016-08-02,38.028999,23.963137
2016-08-03,37.731998,24.263592000000003
2016-08-04,38.038502,24.413485
2016-08-05,38.299,24.784746
2016-08-08,38.327999,24.989975
2016-08-09,38.415501,25.091433
2016-08-10,38.428001,24.904648
2016-08-11,38.562,24.888512
2016-08-12,38.627998,24.946157
2016-08-15,38.4245,25.245947
2016-08-16,38.202,25.222878
2016-08-17,38.231499,25.185986
2016-08-18,38.223,25.153702
2016-08-19,37.865501,25.218270999999998
2016-08-22,37.973999,25.022263
2016-08-23,38.122501,25.100666
