0,mag,lat,lon,rad,ago
2021-01-03 06:21:42.646,5.1,-52.1755,-4.908,10.0,48
2021-01-03 06:27:17.347,5.1,-52.1475,-4.9906,10.0,48
2021-01-03 07:57:49.272,5.1,-19.056,-172.847,10.0,48
2021-01-03 08:24:15.663,5.0,25.9065,128.5553,10.0,48
2021-01-03 08:25:20.355,5.2,1.0057,-28.181,10.0,48
2021-01-03 09:11:43.698,4.5,25.817,128.5092,10.0,48
2021-01-03 09:42:29.935,5.0,25.8779,128.5508,10.0,48
2021-01-03 11:45:03.419,4.9,57.6374,-153.9182,59.6,48
2021-01-03 12:21:05.045,4.5,-25.2563,178.6652,595.64,48
2021-01-03 13:14:25.206,4.5,-7.1469,-80.5385,41.55,48
2021-01-03 14:52:59.498,4.8,13.2919,-90.8542,47.75,48
2021-01-03 15:38:48.930,6.1,51.2327,-179.8028,21.0,48
2021-01-03 15:45:29.909,4.7,7.3832,127.1691,10.0,48
2021-01-03 16:20:21.441,4.5,-30.8511,-71.3552,37.61,48
2021-01-03 16:22:21.983,4.7,13.3416,-90.8009,41.94,48
2021-01-03 21:57:23.209,4.5,-50.8373,131.3262,10.0,48
2021-01-03 22:13:57.912,5.0,-2.7626,122.2402,10.0,48
2021-01-04 00:15:33.994,4.9,-35.3049,-104.8453,10.0,49
2021-01-04 00:26:59.384,4.5,-31.9948,-178.2952,35.0,49
2021-01-04 00:53:35.455,4.5,-2.7349,122.1901,10.0,49
2021-01-04 03:05:10.096,4.5,13.1674,122.2262,10.0,49
2021-01-04 03:23:19.581,4.7,-19.7629,-69.5779,99.18,49
2021-01-04 05:58:29.611,5.0,29.4293,104.0285,10.0,49
2021-01-04 09:39:59.950,4.7,-55.5145,-27.0075,10.0,49
2021-01-04 11:37:47.526,4.7,67.8835,-19.1197,10.0,49
2021-01-04 11:53:57.607,4.9,8.0284,-38.7242,10.0,49
2021-01-04 15:16:13.899,5.0,-57.0703,-26.8096,136.02,49
2021-01-04 17:38:51.112,4.8,73.1244,6.4873,10.0,49
2021-01-04 18:06:30.330,4.9,-39.2886,-74.8965,10.0,49
2021-01-04 18:54:59.134,4.6,13.5768,144.543,120.04,49
2021-01-04 22:44:53.139,4.5,-17.2356,-64.431,59.85,49
2021-01-05 01:55:46.223,4.5,-24.5317,-179.9681,486.24,50
2021-01-05 03:55:08.575,4.7,8.2719,-82.8748,10.0,50
2021-01-05 05:16:14.914,4.5,32.4746,141.7225,10.0,50
2021-01-05 06:11:54.696,4.9,-14.408,167.3276,175.12,50
2021-01-05 06:43:54.713,4.5,-38.5859,177.9627,78.12,50
2021-01-05 08:17:58.538,4.5,-26.4813,-114.5435,10.0,50
2021-01-05 14:56:18.094,5.1,-10.4267,123.8207,10.0,50
2021-01-05 16:22:12.107,4.8,-35.327,-105.2913,10.0,50
2021-01-05 17:34:36.581,4.7,-30.6212,-177.8417,20.31,50
2021-01-05 20:31:47.781,4.5,-6.923,147.9079,66.17,50
2021-01-06 01:00:02.821,4.6,-31.6873,-70.2204,101.39,51
2021-01-06 03:25:49.522,4.6,51.2234,178.8881,35.0,51
2021-01-06 05:30:54.702,4.7,-22.5438,-12.265,10.0,51
2021-01-06 06:23:07.839,4.8,32.6042,141.6235,10.0,51
2021-01-06 09:20:35.938,6.2,-28.8796,-177.1885,37.14,51
2021-01-06 12:21:10.772,4.5,27.2494,-44.372,10.0,51
2021-01-06 14:26:42.626,4.6,-23.0958,-66.4782,212.21,51
2021-01-06 17:13:22.059,4.7,-56.031,-33.8818,10.0,51
2021-01-06 18:44:31.415,4.5,8.9701,126.7309,27.47,51
2021-01-06 19:17:46.982,4.9,-28.8087,-177.1128,35.0,51
2021-01-06 19:38:40.941,4.8,-19.5308,-69.2288,101.36,51
2021-01-06 19:52:16.717,5.8,-7.0585,155.7921,44.0,51
2021-01-06 20:01:43.688,4.7,45.4308,16.2435,10.0,51
2021-01-06 20:28:35.454,5.5,-4.381,102.694,61.04,51
2021-01-06 21:18:38.814,4.9,-28.9641,-177.3688,69.77,51
2021-01-06 21:29:55.560,4.5,51.1401,-179.1814,27.3,51
2021-01-06 22:13:29.760,4.9,39.8411,143.3322,26.75,51
2021-01-06 22:18:59.653,4.7,-26.5568,67.7027,10.0,51
2021-01-06 23:59:34.318,6.1,0.0661,122.9532,148.0,52
2021-01-07 00:47:45.765,5.0,-17.7809,-178.6939,537.32,52
2021-01-07 03:04:52.088,4.5,-7.0262,155.9677,10.0,52
2021-01-07 04:27:31.280,5.0,6.3819,94.2415,78.43,52
2021-01-07 05:20:32.752,4.5,7.8003,122.0446,10.0,52
2021-01-07 05:49:03.029,4.7,-58.8365,-25.4808,35.0,52
2021-01-07 07:37:35.909,4.6,6.8167,-73.0503,149.56,52
2021-01-07 09:28:32.237,4.6,-57.4361,-25.0716,35.0,52
2021-01-07 10:26:48.919,5.3,-42.7606,-82.7221,10.0,52
2021-01-07 12:17:13.198,4.8,46.892,-27.2214,10.0,52
2021-01-07 14:47:35.524,4.5,-23.2871,-177.5202,259.06,52
2021-01-07 16:53:03.003,4.5,-15.0995,-173.4204,39.81,52
2021-01-07 19:47:18.277,4.5,7.6827,121.9292,10.0,52
2021-01-08 00:16:48.873,4.5,47.8779,153.5467,67.94,53
2021-01-08 00:27:36.252,4.6,-12.3616,167.0569,226.62,53
2021-01-08 02:52:59.184,4.6,-4.4085,-75.4105,53.04,53
2021-01-08 03:28:49.782,6.3,-29.4779,-178.7021,224.0,53
2021-01-08 03:45:07.947,4.8,-10.3648,161.4039,93.94,53
2021-01-08 06:48:57.792,5.0,42.0534,81.1536,10.0,53
2021-01-08 06:54:44.220,4.7,42.0518,81.0862,10.0,53
2021-01-08 08:01:04.246,6.1,-20.7367,169.8821,113.0,53
2021-01-08 12:48:44.584,5.2,-55.6337,-28.6416,51.8,53
2021-01-08 13:05:37.845,4.7,-11.6521,166.4324,110.44,53
2021-01-08 14:41:58.641,5.3,-30.5545,-179.6095,336.37,53
2021-01-08 15:08:50.328,4.9,-17.5104,-172.6346,10.0,53
2021-01-08 19:49:58.059,5.2,-7.2217,120.1887,605.85,53
2021-01-08 21:36:41.490,5.0,-17.6813,-172.5027,10.0,53
2021-01-09 03:40:40.977,4.5,-23.6308,-66.8749,211.27,54
2021-01-09 04:39:38.975,5.5,-16.1482,168.0059,182.0,54
2021-01-09 06:33:33.680,4.6,16.8469,-101.6928,10.0,54
2021-01-09 08:36:33.842,4.6,37.8559,142.6165,34.87,54
2021-01-09 11:23:01.606,5.2,-17.9343,-178.5181,578.93,54
2021-01-09 14:35:52.852,4.7,24.7407,122.0373,74.75,54
2021-01-09 15:28:13.563,5.2,-7.0972,129.4511,117.41,54
2021-01-09 18:00:57.409,4.8,9.647,148.0482,10.0,54
2021-01-09 18:12:30.639,4.7,-25.111,-179.5873,429.11,54
2021-01-09 19:15:41.721,4.9,-24.906,179.9501,490.36,54
2021-01-10 02:01:12.683,5.3,-10.8029,162.4962,10.0,55
2021-01-10 05:23:58.504,4.6,-49.8235,116.1816,10.0,55
2021-01-10 05:44:36.454,4.6,51.8883,178.6813,97.28,55
2021-01-10 06:13:47.423,4.6,-24.5888,179.9874,503.16,55
2021-01-10 06:23:29.306,4.6,23.7861,121.4802,13.55,55
2021-01-10 06:54:14.483,6.1,-24.0412,-66.5729,217.0,55
2021-01-10 09:38:19.291,4.5,37.767,141.6933,43.85,55
2021-01-10 09:48:20.094,6.1,-16.0347,167.8826,160.0,55
2021-01-10 11:15:19.343,4.7,-34.6821,-71.8174,41.71,55
2021-01-10 13:13:35.766,4.6,-15.7187,-179.3551,10.0,55
2021-01-10 14:49:42.614,5.0,-5.1505,153.4578,53.19,55
2021-01-10 18:14:42.573,4.5,36.5003,70.8826,178.51,55
2021-01-10 18:29:25.525,4.6,-25.0252,179.8068,502.08,55
2021-01-10 18:44:48.204,5.6,-35.4114,-105.8649,10.0,55
2021-01-10 23:42:16.979,4.6,-24.1175,-66.7534,199.67,56
2021-01-11 00:28:37.847,5.0,-55.9007,-27.1789,54.84,56
2021-01-11 01:11:08.106,4.8,-22.4888,-68.4786,105.08,56
2021-01-11 01:40:18.830,4.7,-8.2757,116.22,34.95,56
2021-01-11 03:24:36.751,4.9,25.7083,124.4349,149.62,56
2021-01-11 04:20:38.366,5.6,-7.2551,120.4352,615.73,56
2021-01-11 04:38:46.798,4.9,-7.2598,120.6954,618.65,56
2021-01-11 04:54:58.198,4.9,-37.1107,-17.3239,10.0,56
2021-01-11 04:57:27.321,5.2,1.0276,119.9894,9.85,56
2021-01-11 07:00:11.448,4.7,-12.6409,-78.1524,10.0,56
2021-01-11 07:45:42.638,5.3,-63.1803,170.7433,10.0,56
2021-01-11 08:09:02.344,4.8,-37.1253,-16.9113,10.0,56
2021-01-11 09:05:51.953,4.5,-3.6357,-74.7061,47.26,56
2021-01-11 10:19:03.659,5.1,53.6754,-163.9531,35.0,56
2021-01-11 10:19:04.597,4.9,53.7507,-164.0672,37.5,56
2021-01-11 13:51:16.721,4.8,-20.4215,-177.6905,470.84,56
2021-01-11 15:40:45.238,4.5,-5.2188,151.502,73.16,56
2021-01-11 15:47:01.240,5.4,38.8824,-29.3694,10.0,56
2021-01-11 15:56:43.448,4.5,52.7477,158.7786,78.4,56
2021-01-11 16:23:25.743,4.5,15.3036,-45.0994,10.0,56
2021-01-11 17:02:03.048,5.1,33.3042,75.5872,10.0,56
2021-01-11 17:53:05.764,4.5,4.8251,126.9722,65.3,56
2021-01-11 17:57:56.117,4.6,-24.8174,-179.8959,512.12,56
2021-01-11 20:01:39.298,4.6,-17.0163,-174.0376,147.91,56
2021-01-11 22:16:30.997,4.6,-16.4072,178.0071,10.0,56
2021-01-11 22:44:36.185,5.5,-58.05,-9.8432,10.0,56
2021-01-12 00:30:38.609,4.6,-15.6927,168.0112,150.89,57
2021-01-12 00:32:59.020,6.7,51.2774,100.437,10.0,57
2021-01-12 00:41:04.489,5.8,51.4852,100.5121,10.0,57
2021-01-12 00:44:04.455,5.7,51.4076,100.4925,10.0,57
2021-01-12 00:52:25.676,4.5,51.2861,100.3546,10.0,57
2021-01-12 00:53:00.126,5.1,51.4144,100.4297,10.0,57
2021-01-12 00:56:52.479,4.5,51.4437,100.3282,10.0,57
2021-01-12 01:02:56.759,5.0,51.1805,100.311,10.0,57
2021-01-12 01:10:29.324,4.7,51.2628,100.2528,10.0,57
2021-01-12 01:19:12.304,4.6,51.4758,100.424,10.0,57
2021-01-12 01:22:43.394,4.5,51.3125,100.2729,10.0,57
2021-01-12 01:36:07.416,4.8,-21.8638,170.8857,138.35,57
2021-01-12 02:02:23.738,5.0,51.4379,100.3097,10.0,57
2021-01-12 02:30:16.441,4.5,44.0738,149.5818,10.0,57
2021-01-12 03:23:18.555,4.6,-53.3414,-47.1141,10.0,57
2021-01-12 03:34:05.621,4.5,51.3627,100.1567,10.0,57
2021-01-12 03:36:11.586,4.8,51.2279,100.2963,10.0,57
2021-01-12 04:37:57.343,4.6,51.2485,100.2144,10.0,57
2021-01-12 04:49:54.765,4.6,51.5301,100.1421,10.0,57
2021-01-12 05:39:43.440,5.9,43.708,139.9783,214.0,57
2021-01-12 06:46:37.810,4.5,-4.0032,127.702,192.42,57
2021-01-12 09:10:53.284,4.9,14.7981,-93.6356,22.97,57
2021-01-12 10:22:50.289,5.0,22.8862,143.8902,39.38,57
2021-01-12 10:26:33.870,4.5,40.0828,19.7021,10.0,57
2021-01-12 12:08:45.504,4.7,51.1063,100.3621,10.0,57
2021-01-12 12:46:44.326,4.5,7.5564,-34.6938,10.0,57
2021-01-12 13:06:36.856,5.4,-63.16,171.5794,10.0,57
2021-01-12 13:11:55.528,5.2,4.1619,125.3956,46.05,57
2021-01-12 13:23:15.450,4.6,-2.8671,141.9002,24.54,57
