Date,Open,High,Low,Close,Volume,Adj Close
2007-05-25 00:00:00,104.55,104.55,104.05,104.44,1912300,103.6
2007-05-24 00:00:00,103.95,105.63,103.82,104.18,5362800,103.34
2007-05-23 00:00:00,104.7,105.28,103.66,103.84,4058600,103.01
2007-05-22 00:00:00,103.76,104.2,103.16,103.71,2127300,102.88
2007-05-21 00:00:00,104.18,104.63,103.72,104.05,4171700,103.22
2007-05-18 00:00:00,103.64,104.64,103.43,104.5,5171400,103.66
2007-05-17 00:00:00,103.25,103.53,103.03,103.19,2139100,102.36
2007-05-16 00:00:00,102.73,103.19,102.15,103.18,3150800,102.35
2007-05-15 00:00:00,103.05,104.25,102.48,102.6,5643300,101.67
2007-05-14 00:00:00,103.62,103.98,103.25,103.35,2393700,102.41
2007-05-11 00:00:00,103.85,104.13,103.0,103.64,4133600,102.7
2007-05-10 00:00:00,104.43,105.97,103.7,103.85,8476100,102.89
2007-05-09 00:00:00,103.89,105.03,103.67,105.03,4555100,104.06
2007-05-08 00:00:00,104.22,104.5,103.64,104.02,4117200,103.06
2007-05-07 00:00:00,104.27,104.75,104.23,104.52,1374600,103.55
2007-05-04 00:00:00,104.35,104.35,103.38,104.25,1964400,103.28
2007-05-03 00:00:00,104.02,104.82,103.64,104.0,5207200,103.03
2007-05-02 00:00:00,103.94,104.78,103.82,104.07,2623000,103.1
2007-05-01 00:00:00,102.97,104.01,102.24,103.89,11396300,102.92
2007-04-30 00:00:00,105.13,105.13,103.2,103.33,6188100,102.37
2007-04-27 00:00:00,105.65,105.65,104.8,105.04,3171600,104.06
2007-04-26 00:00:00,105.64,105.8,105.05,105.76,1300800,104.78
2007-04-25 00:00:00,105.35,105.95,105.07,105.84,1660500,104.86
2007-04-24 00:00:00,104.2,104.71,103.46,104.55,4205700,103.57
2007-04-23 00:00:00,105.3,106.15,104.73,104.83,2287000,103.84
2007-04-20 00:00:00,104.51,105.82,104.51,105.62,3246800,104.62
2007-04-19 00:00:00,103.5,104.56,103.38,104.37,3718200,103.37
2007-04-18 00:00:00,104.04,104.24,103.59,104.0,1754700,103.0
2007-04-17 00:00:00,104.0,104.57,103.83,104.42,1947200,103.41
2007-04-16 00:00:00,102.75,103.73,102.68,103.64,2892900,102.63
2007-04-13 00:00:00,102.55,102.55,101.73,102.35,5448600,101.36
2007-04-12 00:00:00,102.2,103.14,101.33,102.67,3205000,101.67
2007-04-11 00:00:00,103.49,103.57,102.1,102.5,5169000,101.5
2007-04-10 00:00:00,103.85,104.31,103.37,103.55,3066800,102.54
2007-04-09 00:00:00,103.57,104.01,103.1,103.98,1970400,102.97
2007-04-05 00:00:00,102.98,103.52,102.81,103.37,1283400,102.37
2007-04-04 00:00:00,102.9,103.29,102.68,103.04,1402600,102.03
2007-04-03 00:00:00,102.3,103.57,102.05,102.38,4157500,101.37
2007-04-02 00:00:00,101.0,101.69,100.86,101.68,1106300,100.68
