,GLD,USO
1362,173.59,32.92
1363,169.05,31.13
1364,159.8,31.09
1365,157.58,31.47
1366,160.63,32.37
1367,156.22,31.25
1368,157.7,31.97
1369,158.06,30.49
1370,160.96,29.74
1371,157.64,29.91
1372,159.46,30.84
1373,160.49,31.98
1374,159.18,32.04
1375,163.27,33.24
1376,162.1,33.01
1377,163.26,32.92
1378,162.3,32.65
1379,163.4,33.87
1380,162.62,33.43
1381,161.84,34.15
1382,159.87,33.31
1383,157.77,33.33
1384,159.52,33.85
1385,161.02,35.38
1386,165.59,35.8
1387,167.4,35.06
1388,169.55,36.21
1389,169.62,36.03
1390,167.34,35.74
1391,167.38,35.2
1392,169.06,35.67
1393,171.72,36.32
1394,170.85,36.46
1395,174.98,37.09
1396,173.53,37.43
1397,172.07,37.0
1398,171.14,37.72
1399,173.96,38.21
1400,173.2,37.86
1401,173.36,38.43
1402,171.51,39.34
1403,167.1,38.23
1404,167.62,37.82
1405,163.5,37.59
1406,165.31,37.82
1407,164.83,37.16
1408,163.4,37.16
1409,166.63,37.85
1410,166.88,38.55
1411,170.13,38.78
1412,169.63,38.61
1413,169.82,39.03
1414,167.32,39.01
1415,168.18,39.0
1416,169.4,38.81
1417,165.98,37.78
1418,166.4,38.5
1419,161.99,37.88
1420,158.45,38.61
1421,152.89,36.66
1422,152.33,36.13
1423,155.23,36.27
1424,154.87,36.2
1425,156.98,37.56
1426,157.16,38.11
1427,156.04,38.28
1428,156.31,38.49
1429,154.91,39.06
1430,151.03,38.34
1431,150.34,38.41
1432,151.99,38.11
1433,155.92,39.69
1434,156.71,39.77
1435,157.78,39.17
1436,157.2,39.22
1437,156.5,39.08
1438,158.64,39.34
1439,159.67,38.92
1440,160.38,38.06
1441,159.26,38.16
1442,160.5,38.79
1443,161.6,38.83
1444,161.22,38.69
1445,162.07,37.78
1446,163.16,38.39
1447,162.01,38.1
1448,166.42,38.35
1449,167.27,38.37
1450,168.97,38.3
1451,168.03,38.01
1452,169.31,37.82
1453,169.56,37.38
1454,171.05,37.13
1455,167.64,37.59
1456,167.18,37.33
1457,169.7,37.95
1458,168.5,38.04
1459,168.02,38.33
1460,167.14,38.02
1461,167.51,38.69
1462,167.12,38.84
1463,168.11,39.18
1464,168.0,39.28
1465,167.35,39.75
1466,171.02,40.58
1467,172.94,40.59
1468,173.02,41.37
1469,172.23,42.01
1470,171.7,41.18
1471,173.49,40.79
1472,164.29,40.92
1473,166.61,41.75
1474,166.34,40.77
1475,165.65,40.97
1476,162.7,40.13
1477,163.63,40.61
1478,165.28,40.82
1479,166.38,41.09
1480,165.07,40.7
1481,162.3,40.83
1482,159.57,40.41
1483,161.08,40.28
1484,161.3,41.03
1485,161.59,41.29
1486,160.13,40.43
1487,160.21,40.66
1488,159.57,40.14
1489,161.53,40.69
1490,164.4,40.77
1491,163.24,40.71
1492,161.51,40.19
1493,161.28,39.29
1494,162.12,39.23
1495,162.94,40.03
1496,159.89,39.66
1497,157.21,38.84
1498,158.31,39.26
1499,159.37,38.97
